N,P,K,ph,temperature,humidity,rainfall,label
90,42,43,6.5,25,80,200,Rice
85,58,41,7,28,70,150,Wheat
60,55,44,6.8,30,60,120,Maize
74,35,40,6.2,22,85,220,Paddy
78,50,42,7.2,27,65,130,Sugarcane
69,45,38,6.2,26,75,150,Cotton
80,40,45,7.5,29,55,100,Bajra
62,40,210,7.6,26,70,180,Wheat
58,38,195,7.8,28,75,220,Rice
55,35,185,7.9,30,60,140,Maize
65,42,220,7.4,27,68,180,Sugarcane
60,36,200,7.7,25,72,200,Paddy
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,"( A = State, B = Year, J = Soil_Type)",,,,,
